"자치구 기준일","종로구 전체","종로구 추가","중구 전체","중구 추가","용산구 전체","용산구 추가","성동구 전체","성동구 추가","광진구 전체","광진구 추가","동대문구 전체","동대문구 추가","중랑구 전체","중랑구 추가","성북구 전체","성북구 추가","강북구 전체","강북구 추가","도봉구 전체","도봉구 추가","노원구 전체","노원구 추가","은평구 전체","은평구 추가","서대문구 전체","서대문구 추가","마포구 전체","마포구 추가","양천구 전체","양천구 추가","강서구 전체","강서구 추가","구로구 전체","구로구 추가","금천구 전체","금천구 추가","영등포구 전체","영등포구 추가","동작구 전체","동작구 추가","관악구 전체","관악구 추가","서초구 전체","서추구 추가","강남구 전체","강남구 추가","송파구 전체","송파구 추가","강동구 전체","강동구 추가","기타 전체","기타 추가"
"2022.07.01.00","49186","30","44704","26","75362","86","107894","61","129098","83","126837","64","137190","53","157497","84","100788","38","110906","48","185854","84","163461","86","109310","62","135030","117","159510","106","205345","148","149194","78","85579","39","149321","97","144418","91","180069","130","144128","121","187095","163","238219","183","167128","90","225148","172"
"2022.06.30.00","49156","33","44678","38","75276","68","107833","65","129015","90","126773","57","137137","52","157413","97","100750","35","110858","46","185770","105","163375","85","109248","68","134913","108","159404","101","205197","123","149116","93","85540","30","149226","111","144327","77","179939","108","144007","131","186932","163","238036","169","167038","87","224976","142"
"2022.06.29.00","49123","34","44640","47","75208","89","107768","77","128925","77","126716","75","137085","55","157316","104","100715","57","110812","44","185665","110","163290","78","109180","61","134805","122","159304","84","205074","156","149023","76","85510","27","149115","119","144250","88","179831","132","143877","126","186769","202","237867","171","166951","92","224834","176"
"2022.06.28.00","49089","41","44593","45","75119","84","107691","86","128848","105","126641","59","137030","63","157212","103","100658","73","110768","51","185555","107","163212","52","109119","72","134683","135","159222","82","204918","166","148947","61","85483","47","148997","101","144162","98","179699","126","143751","108","186567","172","237696","183","166859","99","224658","153"
"2022.06.27.00","49048","6","44548","12","75035","23","107605","15","128743","17","126582","16","136967","8","157109","22","100585","12","110717","7","185448","32","163160","23","109047","17","134548","28","159140","23","204752","47","148887","11","85436","7","148896","25","144064","20","179573","24","143643","42","186395","50","237513","53","166760","24","224509","36"
"2022.06.26.00","49042","21","44536","28","75012","26","107590","36","128726","57","126566","25","136959","38","157087","57","100573","26","110710","26","185416","69","163137","66","109030","38","134520","57","159117","56","204705","91","148876","29","85429","19","148871","47","144044","47","179549","57","143601","78","186345","111","237460","94","166736","50","224473","61"
"2022.06.25.00","49021","30","44508","30","74986","33","107554","52","128669","57","126541","28","136921","39","157030","66","100547","39","110684","46","185347","55","163071","47","108992","55","134463","90","159061","52","204614","87","148847","55","85410","24","148824","53","143997","47","179492","87","143523","73","186234","125","237366","106","166686","61","224412","115"
"2022.06.24.00","48991","31","44478","11","74953","56","107502","44","128612","60","126513","34","136882","40","156964","59","100508","34","110638","24","185292","47","163024","62","108937","36","134373","82","159009","60","204527","85","148792","87","85386","30","148771","59","143950","64","179405","77","143450","76","186109","111","237260","143","166625","69","224297","124"
"2022.06.23.00","48960","18","44467","30","74897","36","107459","42","128552","63","126480","46","136842","40","156905","63","100474","30","110616","34","185244","68","162962","64","108901","48","134291","75","158950","72","204443","89","148705","41","85356","27","148712","52","143886","66","179328","64","143374","87","185998","108","237117","123","166556","58","224172","136"
"2022.06.22.00","48943","28","44437","32","74863","54","107417","30","128494","52","126435","40","136802","46","156842","80","100445","47","110544","41","185178","67","162898","69","108855","44","134216","72","158877","68","204355","114","148663","61","85329","20","148661","75","143820","76","179265","116","143287","101","185893","112","236998","134","166499","64","224052","135"
